Wall time,Step,Value
1700144871.207658,1,1.377442717552185
1700144889.3126774,2,0.9537633657455444
1700144907.1592553,3,0.7616543769836426
1700144924.779305,4,0.6353442668914795
1700144942.4543006,5,0.5760505199432373
1700144958.5478795,6,0.530852198600769
1700144975.4861307,7,0.5171435475349426
1700144991.603419,8,0.5110723972320557
1700145009.5089939,9,0.53264981508255
1700145027.1428869,10,0.4923047423362732
1700145045.8617613,11,0.4221244156360626
1700145062.0726006,12,0.40605348348617554
1700145077.570934,13,0.38132455945014954
1700145093.4346776,14,0.3737967610359192
1700145110.0253537,15,0.3515821695327759
1700145127.3751483,16,0.3356521725654602
1700145144.7351115,17,0.35935014486312866
1700145162.6855383,18,0.3307713568210602
1700145179.3821204,19,0.33618876338005066
1700145195.6945038,20,0.3320674002170563
1700145212.4729676,21,0.3406873941421509
1700145229.3741026,22,0.3263140022754669
1700145247.643656,23,0.3303478956222534
1700145264.316634,24,0.32522252202033997
1700145280.914717,25,0.32607221603393555
1700145296.293126,26,0.3182141184806824
1700145314.0638402,27,0.31234174966812134
1700145331.946657,28,0.30897951126098633
1700145348.428038,29,0.3008228838443756
1700145366.293923,30,0.3122018277645111
1700145383.148159,31,0.2987636625766754
1700145400.4960003,32,0.2895095646381378
1700145418.6807427,33,0.28994977474212646
1700145436.9194007,34,0.29196619987487793
1700145454.7637844,35,0.2864946126937866
1700145471.15789,36,0.3018089532852173
1700145488.4639308,37,0.2990218698978424
1700145505.5040338,38,0.3160082697868347
1700145523.356663,39,0.29664963483810425
1700145541.0648735,40,0.29902413487434387
1700145559.0374749,41,0.2976197302341461
1700145575.5886073,42,0.28970494866371155
1700145593.694992,43,0.30924418568611145
1700145611.35275,44,0.28864139318466187
1700145630.1287134,45,0.2722637355327606
1700145647.3705697,46,0.27838554978370667
1700145666.6454232,47,0.27391380071640015
1700145684.146072,48,0.28097373247146606
1700145701.498367,49,0.29039695858955383
1700145718.2511632,50,0.27693575620651245
