Wall time,Step,Value
1700338330.724003,1,1.586439847946167
1700338339.4264922,2,1.1979641914367676
1700338347.8074455,3,1.0733872652053833
1700338356.5775268,4,0.9482099413871765
1700338365.3108523,5,0.8907106518745422
1700338373.9149096,6,0.8667259812355042
1700338382.7318766,7,0.8426821231842041
1700338391.524235,8,0.8445925116539001
1700338400.505757,9,0.814251184463501
1700338409.25157,10,0.7909409999847412
1700338418.0638046,11,0.8002813458442688
1700338427.222345,12,0.783919632434845
1700338436.129369,13,0.7929591536521912
1700338445.0604272,14,0.7839131951332092
1700338453.764896,15,0.7646942734718323
1700338462.6309319,16,0.753616452217102
1700338471.5601192,17,0.7792251706123352
1700338480.6499257,18,0.767846405506134
1700338489.380366,19,0.7633223533630371
1700338498.1118987,20,0.7509406208992004
1700338506.945854,21,0.7707131505012512
1700338515.963745,22,0.7642121911048889
1700338525.4086692,23,0.8051099181175232
1700338534.4971588,24,0.7584250569343567
1700338543.4333878,25,0.74813312292099
1700338552.3939135,26,0.7522873878479004
1700338561.3102949,27,0.7395771145820618
1700338570.2603016,28,0.7560088634490967
1700338579.3972113,29,0.763935387134552
1700338588.7897816,30,0.7421792149543762
1700338598.0572171,31,0.7533552646636963
1700338607.354735,32,0.7415177822113037
1700338616.581623,33,0.740231454372406
1700338625.9597137,34,0.7284530997276306
1700338635.1953764,35,0.7049571871757507
1700338644.6664226,36,0.7629984617233276
1700338653.956468,37,0.7369712591171265
1700338663.1649253,38,0.7492226958274841
1700338672.3400326,39,0.7329680919647217
1700338681.631169,40,0.7165239453315735
