Wall time,Step,Value
1700147177.0249434,1,1.4255908727645874
1700147194.283499,2,1.0614439249038696
1700147211.303071,3,0.8939687609672546
1700147229.1558583,4,0.7134590148925781
1700147246.826029,5,0.7281530499458313
1700147264.569716,6,0.6256331205368042
1700147282.6229758,7,0.6487773656845093
1700147300.3967125,8,0.6218393445014954
1700147319.3615046,9,0.6042605638504028
1700147338.247534,10,0.5376692414283752
1700147358.3459275,11,0.6167407631874084
1700147376.3225386,12,0.5563873648643494
1700147394.741668,13,0.48527002334594727
1700147414.334963,14,0.48975706100463867
1700147434.2884228,15,0.48519232869148254
1700147453.7655854,16,0.46846723556518555
1700147473.2453327,17,0.44145941734313965
1700147493.0699148,18,0.4157665967941284
1700147512.0234754,19,0.4857591390609741
1700147532.191014,20,0.3925568759441376
1700147552.513019,21,0.38368284702301025
1700147572.6983354,22,0.37559789419174194
1700147593.1966188,23,0.39431753754615784
1700147614.9949799,24,0.413396418094635
1700147635.2193406,25,0.3985079228878021
1700147654.6527874,26,0.3628443777561188
1700147674.8300464,27,0.3498930335044861
1700147695.279708,28,0.448687344789505
1700147718.3809383,29,0.3590007424354553
1700147740.1546493,30,0.33765748143196106
1700147764.067608,31,0.3377405107021332
1700147786.9655197,32,0.3239997327327728
1700147808.9759207,33,0.33373069763183594
1700147828.540597,34,0.3294633626937866
1700147847.486454,35,0.3155042231082916
1700147866.1649992,36,0.3248909115791321
1700147884.1571887,37,0.35765600204467773
1700147904.5141013,38,0.3280683159828186
1700147923.0709612,39,0.3456503450870514
1700147940.815267,40,0.3207593560218811
