Wall time,Step,Value
1700337564.25409,1,1.695942759513855
1700337573.9783244,2,1.1956493854522705
1700337582.9414425,3,1.0576483011245728
1700337591.9838712,4,0.9853769540786743
1700337601.011468,5,0.9732691645622253
1700337610.125695,6,0.9375842809677124
1700337618.6319518,7,0.9285833239555359
1700337627.6304405,8,0.8907788991928101
1700337636.278868,9,0.8813934326171875
1700337644.7382743,10,0.8605679869651794
1700337653.086767,11,0.8550183773040771
1700337661.8352377,12,0.8169623017311096
1700337670.2333574,13,0.8260586857795715
1700337678.6851177,14,0.8433111310005188
1700337687.3168995,15,0.8118992447853088
1700337695.9869573,16,0.8018639087677002
1700337704.1797426,17,0.7975137233734131
1700337712.4068882,18,0.7979281544685364
1700337721.021526,19,0.783928394317627
1700337729.452753,20,0.7987851500511169
1700337737.856419,21,0.7925999164581299
1700337746.3475752,22,0.7932489514350891
1700337754.7389581,23,0.7815526127815247
1700337763.2246776,24,0.7527299523353577
1700337771.672223,25,0.7858638763427734
1700337779.8477008,26,0.796862006187439
1700337787.9078214,27,0.7706280946731567
1700337796.04517,28,0.7924462556838989
1700337804.1756558,29,0.7772377729415894
1700337812.708747,30,0.7731199860572815
1700337820.7941873,31,0.7778527140617371
1700337829.0723612,32,0.7529790997505188
1700337837.6252954,33,0.7469657063484192
1700337847.6142566,34,0.7403959035873413
1700337856.925832,35,0.7557799816131592
1700337868.185323,36,0.7578529715538025
1700337878.8948588,37,0.7565219402313232
1700337887.270491,38,0.7421486377716064
1700337896.005343,39,0.751092255115509
1700337905.6560724,40,0.7562417387962341
