Wall time,Step,Value
1700146183.1515577,1,1.391320824623108
1700146200.3737328,2,0.8835272789001465
1700146216.7947433,3,0.7051259279251099
1700146234.2434058,4,0.6033153533935547
1700146252.3602197,5,0.5398008227348328
1700146270.3465219,6,0.521780252456665
1700146286.6406221,7,0.5000633001327515
1700146303.7794294,8,0.48070627450942993
1700146320.3553047,9,0.5005377531051636
1700146337.4872851,10,0.4717278778553009
1700146355.0473034,11,0.46825122833251953
1700146371.361333,12,0.4629773199558258
1700146387.209001,13,0.43307754397392273
1700146403.4025905,14,0.42818334698677063
1700146420.8280993,15,0.4220214784145355
1700146437.6791441,16,0.4159647822380066
1700146455.1611955,17,0.3953995406627655
1700146473.1482334,18,0.382979154586792
1700146491.945862,19,0.3679586350917816
1700146509.3038142,20,0.34636515378952026
1700146526.7498064,21,0.3501206338405609
1700146544.3721356,22,0.35313287377357483
1700146561.948188,23,0.3479560315608978
1700146578.704322,24,0.3272808790206909
1700146595.0576234,25,0.34215253591537476
1700146612.615462,26,0.333697646856308
1700146629.498021,27,0.35005080699920654
1700146648.043315,28,0.3403635025024414
1700146664.2127597,29,0.3290535509586334
1700146682.4363558,30,0.32394126057624817
1700146701.8785148,31,0.3338928818702698
1700146719.479723,32,0.3148213028907776
1700146735.8752615,33,0.3128732442855835
1700146754.4156017,34,0.3034970760345459
1700146770.9315898,35,0.3047720491886139
1700146788.1416917,36,0.31081220507621765
1700146805.5366497,37,0.3059670329093933
1700146823.3028495,38,0.2958304286003113
1700146840.44781,39,0.2956612706184387
1700146859.3440905,40,0.28998297452926636
