Row,DCP,CL,TD_P
1,0.01694739631602235,0.05507826120595783,0.09097812835570972
2,0.017436955783364398,0.052576763498015856,0.09248447786700958
3,0.8585428373146342,0.9643511246567861,0.8172359531602806
4,0.018069184315220504,0.05314195638543225,0.09120426349708073
5,0.016135848418012976,0.05382675746960632,0.09115522430434934
6,0.015614084500580822,0.053947147551112365,0.08927553999305902
7,0.01607164379562915,0.055273091188631815,0.09150843438934517
8,0.0171275800834239,0.054974078084417996,0.09381813644425115
9,0.032620664747192746,0.05435119569671255,0.2732005433824517
10,0.032572079048516056,0.054992869807260876,0.2721163031767208
11,0.01780149254229293,0.0533964879643867,0.09066351534180556
12,0.01692084985012496,0.05388133217951707,0.090742400325725
13,0.018884793630351927,0.051886149022986654,0.09130415951708566
14,0.031700467521193904,0.05380306918440264,0.18092389439157874
15,0.017091049309623234,0.05446606484627787,0.08988431271312945
16,0.018339228753863294,0.05300060131389372,0.09199465590422595
17,0.015216868623320941,0.053841249731289724,0.09216441024280889
18,0.016864938927307203,0.05438788072286504,0.09206404511637868
19,0.03299438466953488,0.053213178750198716,0.18143297423191304
20,0.017690364028485707,0.05488735036663033,0.09128431646064092
21,0.01522141136648073,0.05491623752381599,0.089590041124329
22,0.016660624025597596,0.052667017493283695,0.08988238851920119
23,0.017841571674470185,0.052983204947865854,0.09199158936325923
24,0.017462746604456174,0.05515705393629619,0.0884005352068106
25,0.9584402872035147,0.9627586905475828,0.729348145340005
26,0.9589015566278704,0.9633541434494511,0.7273032607005356
27,0.016956522178862277,0.052940707927838365,0.08969746318274392
28,0.03339173032517383,0.0538709207746821,0.1836515088179403
29,0.015409647757561977,0.05419318783811706,0.09295513719031664
30,0.015098289097950413,0.054357630281153875,0.09098940561312482
31,0.016185415912595775,0.0524890717308275,0.0913785029470036
32,0.017022912708909307,0.05568484137986329,0.09029663017408657
33,0.018164102741107455,0.05376019961850677,0.0917597283657294
34,0.03143917674732786,0.05380313559101609,0.18087994777949026
35,0.03227860165162739,0.05388825750025614,0.18253624439959754
36,0.015618465603662847,0.054459763130177634,0.09213127143576395
37,0.03141500717921784,0.05325707574721923,0.1830821618047161
38,0.017968117184392205,0.05434728611948091,0.0908592811371208
39,0.03221214072893039,0.05212364723459991,0.18053618397709648
40,0.03206362580280645,0.05381187340633805,0.27136679221116616
41,0.033848352914872995,0.052595289039985546,0.18146322932771974
42,0.031139407536694193,0.054464237404007174,0.18264731242381604
43,0.03233661394435269,0.055281189824656345,0.1829721936557744
