Row,z_1,z_2
214,-0.8170730461209846,-1.8320230195610978
215,-0.6202547724805942,-1.9314720612591192
216,-0.6202838139363432,-1.9315226351758532
217,,
218,-0.8170730461209846,-1.8320230195610978
219,-0.6200410663986535,-1.9310999052044424
220,-0.6200614541238538,-1.9311354091793664
221,,
222,-0.6199176648191065,-1.930885008910579
223,-0.8170730461209846,-1.8320230195610978
224,-0.6198829049027379,-1.9308244766448655
225,,
226,-0.8170730461209846,-1.8320230195610978
227,-0.6197331700377512,-1.9305637225470178
228,-0.6197423506839392,-1.930579710080146
229,,
230,-0.8170730461209846,-1.8320230195610978
231,-0.6194676680335343,-1.9301013670655969
232,-0.6195051078798175,-1.9301665662651426
233,,
234,-0.6193912276439304,-1.9299682508081906
235,-0.8170730461209846,-1.8320230195610978
236,-0.6193721134758097,-1.9299349646549298
237,,
238,-0.8170730461209846,-1.8320230195610978
239,-0.6193392362529179,-1.9298777109846132
240,-0.6193590138833058,-1.929912152516783
241,,
242,-0.6191749789020446,-1.9295916668669275
243,-0.8170730461209846,-1.8320230195610978
244,-0.6189139982536579,-1.929137185049805
245,-0.6191422118971472,-1.9295346051344984
246,,
247,-0.5996722261327811,-1.895628817237022
248,-0.5998679181355965,-1.895969602876056
249,-0.6188771358122029,-1.9290729913654086
250,-0.8170730461209846,-1.8320230195610978
251,,
252,-0.8170730461209846,-1.8320230195610978
253,-0.5993498695042987,-1.8950674529091303
254,-0.5996405576694589,-1.895573668547473
255,,
256,-0.8170730461209846,-1.8320230195610978
257,-0.5991001283602121,-1.8946325440004566
258,-0.5991878069576693,-1.8947852309086297
259,,
260,-0.5989201991204715,-1.8943192082480307
261,-0.8170730461209846,-1.8320230195610978
262,-0.5989086916781748,-1.8942991687419686
263,,
264,-0.8170730461209846,-1.8320230195610978
265,-0.5987854605905483,-1.894084569349344
266,-0.5988809062593083,-1.8942507821365482
267,,
268,-0.5987206649873704,-1.8939717317743905
269,-0.5987462493404294,-1.8940162853584974
270,-0.8170730461209846,-1.8320230195610978
271,-0.5986504575394072,-1.8938494698031556
272,,
273,-0.8170730461209846,-1.8320230195610978
274,-0.5985428498680637,-1.8936620776332347
275,-0.5985635285540409,-1.893698088298534
276,,
277,-0.8170730461209846,-1.8320230195610978
278,-0.5985189949874774,-1.893620535819529
279,-0.5985400659513695,-1.8936572296127945
280,,
281,-0.5983348500300849,-1.893299858652976
282,-0.8170730461209846,-1.8320230195610978
283,-0.5983139723009788,-1.8932635013662569
284,,
285,-0.598247385280067,-1.893147544147023
286,-0.8170730461209846,-1.8320230195610978
287,-0.5982125592331479,-1.8930868967190053
288,,
289,-0.5981633294830992,-1.8930011661240478
290,-0.5981802931367566,-1.8930307072880648
291,-0.8170730461209846,-1.8320230195610978
292,-0.5981418956837227,-1.8929638404750058
293,,
294,-0.8170730461209846,-1.8320230195610978
295,-0.5980879199762179,-1.8928698450857728
296,-0.5980966329253179,-1.8928850181530634
297,,
298,-0.5980796453766916,-1.8928554353774212
299,-0.8170730461209846,-1.8320230195610978
300,-0.5980721805843315,-1.8928424358986584
301,,
302,-0.8170730461209846,-1.8320230195610978
303,-0.5979713393525261,-1.892666827068827
304,-0.5979925519349569,-1.8927037674821054
305,,
306,-0.8170730461209846,-1.8320230195610978
307,-0.5978416054038775,-1.8924409033419578
308,-0.5978445678235146,-1.892446062214342
309,,
310,-0.5978166149304647,-1.8923973839628863
311,-0.5978261498201313,-1.892413988389339
312,-0.8170730461209846,-1.8320230195610978
313,-0.5978085168569676,-1.8923832816638042
314,,
315,-0.8170730461209846,-1.8320230195610978
316,-0.5975891232233439,-1.8920012210861685
317,-0.5975937211596182,-1.8920092281106193
318,,
319,-0.5974079251666851,-1.8916856757667795
320,-0.8170730461209846,-1.8320230195610978
321,-0.5973853560653375,-1.8916463730588788
322,,
323,-0.5973448834430675,-1.8915758924656751
324,-0.5973635935093521,-1.8916084749003346
325,-0.5973737866736428,-1.8916262256717338
326,-0.8170730461209846,-1.8320230195610978
327,,
328,-0.8170730461209846,-1.8320230195610978
329,-0.5972016189116116,-1.891326406057438
330,-0.5972258904604989,-1.891368673473474
331,,
