Row,DCP,CL,TD_P,TD_U,LSR
1,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-2.5809132410273814,-1.794078730292442
2,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.5337162977251768,-1.6411334350223497
3,3.4196933630857766,1.6890438040549935,1.5237013001452815,0.3129877326928673,0.8520370751130769
4,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.545349060399951,-1.615009879060489
5,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.9441709451948268,-1.794078730292442
6,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.534611945944984,-1.5930656917392192
7,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.935228543061583,-1.5770376258563878
8,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3248037827224208,-1.7141608579006744
9,0.062357798818908884,1.6890438040549935,-1.7902141831471818,-1.8992576289148329,-1.6165497506318784
10,0.09408441349549544,1.6890438040549935,-1.7902141831471818,-1.884616592184368,-1.794078730292442
11,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5263658650855672,-1.794078730292442
12,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5078702904690133,0.2961954872218312
13,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5216999244609672,-1.794078730292442
14,0.7941179344764618,1.6890438040549935,-1.7902141831471818,-1.8927991632555716,-1.794078730292442
15,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5174877455927716,-1.794078730292442
16,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3232164646966196,-1.794078730292442
17,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.136404027454496,-1.7420023639317228
18,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.517463536131695,-1.794078730292442
19,0.25878028629241123,1.6890438040549935,-1.7902141831471818,-1.8922789480638629,-1.794078730292442
20,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3295392162511825,-1.794078730292442
21,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3296088558778758,-1.7908407682765037
22,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3338473965891327,-1.794078730292442
23,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.519284118575642,-1.794078730292442
24,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-2.2431821389777356,-1.794078730292442
25,3.4196933630857766,1.6890438040549935,0.42318416551674176,0.5279061517798509,0.6875145361640635
26,3.4196933630857766,1.6890438040549935,0.30484802658863064,-0.32999016275616144,0.7285473462665544
27,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3282088225153625,-1.6580126314084827
28,0.8094741624716334,1.6890438040549935,-1.7902141831471818,-1.7002359174646486,-1.5736842038751417
29,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5171067655893515,-1.794078730292442
30,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5172988702189691,-1.794078730292442
31,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.8852090616419908,-0.9237712897415541
