Row,bagging,gradient_boosting,logistic_regression,mlp,random_forest,svc_linear,svc_rbf
614,0.011412156337722329,0.04982948208915297,0.5491333559058258,0.05807754272267563,0.02515655559224101,0.7563212041769247,0.039814555981079684
615,1.316971995103776,0.9638097237647528,1.0667041697934947,2.331334386322557,1.210291914176957,1.000428746463983,1.9481713595484222
616,0.014210805450799465,0.014607734134825766,0.04375984909019955,0.010987681839289712,0.006442899308951605,0.21979232499275536,0.15833913699679025
617,0.013649165236417743,0.012289318954582327,0.4635751354437978,0.010753367687629356,0.007340027324843283,0.6636565373465398,0.2167670942446252
618,0.012364554611062045,0.0027884924806539316,0.0036274784487913578,0.011093711460604679,0.0063141702940294345,0.15960944834853055,0.001804061967041915
619,0.01184648868149755,0.011847108389831423,0.0012578162534311846,0.013302544031358084,0.006841650467946329,0.11316676916634352,0.06548816418655012
620,0.01470296924306894,0.002261863006780475,0.06497281426646928,0.010682876003971472,0.0062822376600673215,0.2975713437134526,0.009659951294341575
621,0.014032913411203187,0.0434161704997005,0.50449791466191,0.031178390952112087,0.010920072630715014,0.7073058772955302,0.09919785072267126
622,0.010797787226693117,0.0004311290872579341,0.005538865880141047,0.010968101156682102,0.006841650467946329,0.2143854808277839,0.5959965574772211
623,0.1352665774279647,0.010324409740797173,0.2697283850201133,0.011459727496871401,0.008361552677864871,0.5000076417917736,0.03188054379118736
624,0.0568462328308711,0.021476988570808393,0.006776064769580921,0.010679849382666006,0.009966215886165301,0.11618375967906688,0.17658412466666673
625,0.012936353383529709,0.022168528402111046,0.07451094258336018,0.012533448546554913,0.006738559639368251,0.4075381063969682,0.015783795363917177
626,0.011412156337722329,0.004075059083080727,0.05773736517949024,0.010909798477211869,0.006064245239128101,0.33283623382385485,0.03457990576394052
627,0.012364554611062045,0.02583904994832674,0.2910032690712392,0.011176983641217336,0.008189938569817154,0.6496649787977127,0.007811509568192898
628,0.011412156337722329,0.0007218508005166279,0.0014764945704858808,0.009736745314564829,0.006064245239128101,0.09376072164668853,0.10054697075050563
629,0.011712209463175024,0.006429776049858745,0.008359752498013347,0.010679848973055657,0.005881069075498377,0.11579765621041933,0.054684888627049864
630,0.015639154964772584,0.0011511567919323673,0.004806104278241943,0.0117306943795738,0.014909114787822267,0.13284526109464087,0.453926189551742
631,0.011190997788553408,0.035839705152557716,0.43664101415306683,0.01067984898244351,0.007168236395028208,0.6901613931274022,0.0005651382707513521
632,0.011190997788553408,0.04541780819040217,0.5093898927159333,0.010679848973071705,0.005881069075498377,0.7246906019451012,0.003057988122516993
633,0.011190997788553408,0.001301229204817744,0.04668172272402643,0.010679848973056556,0.0062822376600673215,0.27987693535471836,0.0472421621461358
634,0.011190997788553408,0.016075974006290673,0.3114721542749063,0.010679849679778431,0.0062822376600673215,0.6039205082293146,0.03974966812896535
635,3.8871133838680483,4.209235401424231,1.8678431685087657,3.7115644817066267,3.784997513498653,1.3437728585818347,2.98449518777706
636,0.011412156337722329,0.027416308003887745,0.4573028302521909,0.009736745314611914,0.016521146540828154,0.7132738914338121,0.01847423749052991
637,0.012364554611062045,0.009891289491139085,0.06878687328567015,0.011093711458947372,0.006522925705050037,0.40029877858683904,0.0006060633535659294
638,0.011190997788553408,0.0006779090684223445,0.025220671488531597,0.010679848973056107,0.0062822376600673215,0.18275219114804117,0.044844809931803134
639,0.02303114707240191,0.014462294143323987,0.29661059343251467,0.015139553442684257,0.006876899541469977,0.526480298014207,0.0005990461902980133
640,0.01952150819107735,0.008038174689679663,0.20065632537003777,0.009786732092284986,0.006911837948709805,0.5001539863798368,0.001412429256512939
641,0.011190997788553408,0.009474609150108634,0.39260180885110935,0.010679849577411107,0.005912200261316444,0.6508526060993606,0.0007529430385065909
642,0.011190997788553408,0.057460172569162714,0.3024269425898448,0.010947188130413428,0.010489959443990967,0.6017197794332199,0.6400746666561857
643,0.011412156337722329,0.0025329970395610406,0.042658603638238035,0.009736745634910381,0.006064245239128101,0.29054488525644956,0.008700426008881903
644,0.1967105351849252,0.05696608297826067,0.16073383371319858,0.010787505108483676,0.010165101921855171,0.408228403441921,0.04942397314337921
645,0.011412156337722329,0.11508886663915371,0.5727945914711842,0.010708955913395874,0.00647423049666954,0.7480824099804342,0.00044974235707898925
646,0.011190997788553408,0.044722455570456406,0.3599672968408259,0.010679848973066206,0.006976664988889671,0.6364455157864781,0.00039667523359148955
647,0.013649165236417743,0.06604453348080395,0.4252013188639838,0.010751004317933407,0.00726073581624029,0.7163487965143378,0.0017226265734630515
648,0.011190997788553408,0.023665306648015656,0.08465653992876736,0.010679902828861958,0.005881069075498377,0.32827745213141984,0.012555643498477998
649,0.013649165236417743,0.0032795969764057766,0.425842347408061,0.010751004372733373,0.006876899541469977,0.6471855135708516,9.746641599234962e-05
650,0.012364554611062045,0.000488476587280813,0.009280356899489858,0.01109371143543008,0.0063141702940294345,0.245587216459732,0.04527357366359697
651,0.03173192010802578,0.04859223394552487,0.4758738996042303,0.010752955563829015,0.007834222655129484,0.6884385424544193,0.0025034650142070226
652,3.767943051445152,0.9704587818915947,1.1709308260423308,1.6655303219547866,1.976939303576629,1.0365442981182953,2.770171044649195
653,0.011190997788553408,0.03301544065520695,0.2448020701811329,0.010679848973055657,0.006710679672536652,0.5982400647428611,0.03541398042527884
654,0.011412156337722329,0.06386602041928643,0.4437315710855144,0.009736745314385679,0.0132599037118341,0.709651850614908,0.006873966099608415
655,0.013649165236417743,0.009145739821577195,0.2400100951847641,0.01075186469893304,0.006442899308951605,0.48195267835195654,0.00014764423258069073
656,0.013649165236417743,0.0016447553573324426,0.05196134612542782,0.010751004315289225,0.006442899308951605,0.25537451573778364,0.08794526768350346
657,0.018563052843263813,0.0008472051049646765,0.014981278411040435,0.01109371143543008,0.017836020901326778,0.24055344810324403,0.010136545817696657
658,0.012936353383529709,0.0071257325493161655,0.00038338707150155403,0.011093711466553715,0.0063141702940294345,0.0741583162654237,0.13182511190038557
659,0.011190997788553408,0.006892885223435746,0.04035710688774795,0.01843651753989242,0.005881069075498377,0.25111509981567254,0.04144477986024505
660,0.24960831987620966,0.00023866522939191068,0.0070142024207009305,0.010968101156682102,0.010781131252925331,0.1604498847712914,0.40538414275724816
661,0.013649165236417743,0.03250984699323205,0.5951407845068685,0.010751031778821125,0.00733754507241907,0.7575160366509108,0.0006576635956846772
