Row,z_1,z_2
86,-0.6649667152638605,-2.0093351715274435
87,-0.8653780219995433,-1.776605375994251
88,-0.664951681184195,-2.009308990598369
89,,
90,-0.6649240830346608,-2.0092609301110222
91,-0.8653780219995433,-1.776605375994251
92,-0.6648510428368892,-2.0091337350794696
93,-0.6648991397484114,-2.009217492905506
94,,
95,-0.8653780219995433,-1.776605375994251
96,-0.6646536801697673,-2.0087900400808545
97,-0.6646770135989968,-2.008830673818955
98,,
99,-0.8653780219995433,-1.776605375994251
100,-0.6646375581242725,-2.0087619645259136
101,-0.6646484880739416,-2.0087809983639304
102,,
103,-0.8653780219995433,-1.776605375994251
104,-0.664555193702313,-2.0086185319289385
105,-0.6645833288432585,-2.008667527553943
106,,
107,-0.8653780219995433,-1.776605375994251
108,-0.6642210996677396,-2.0080367276271196
109,-0.6642316924538318,-2.008055174315414
110,,
111,-0.6640825209386136,-2.007795401256689
112,-0.8653780219995433,-1.776605375994251
113,-0.6640433888636061,-2.00772725514445
114,,
115,-0.8653780219995433,-1.776605375994251
116,-0.6639818347984279,-2.0076200625094156
117,-0.6640074800052653,-2.007664722066651
118,,
119,-0.8653780219995433,-1.776605375994251
120,-0.6636707086335694,-2.00707825534619
121,-0.6637399338748098,-2.0071988068645656
122,,
123,-0.6635821422046853,-2.006924022333956
124,-0.8653780219995433,-1.776605375994251
125,-0.663428750007304,-2.006656899215712
126,,
127,-0.8653780219995433,-1.776605375994251
128,-0.6633011997607103,-2.006434778272245
129,-0.6633278341399585,-2.0064811604126587
130,,
131,-0.8653780219995433,-1.776605375994251
132,-0.6628599180987229,-2.005666313281286
133,-0.6629419133461044,-2.005809102983341
134,-0.6630376969234911,-2.005975904217725
135,,
136,-0.8653780219995433,-1.776605375994251
137,-0.8614214609425185,-1.7743471970346874
138,-0.6437900369908522,-1.972457283141319
139,-0.6439432321217498,-1.9727240630803495
140,-0.6439943896546272,-1.9728131507910491
141,-0.6447293775081568,-1.9740930871284756
142,-0.6627511199498994,-2.0054768479677363
143,,
144,-0.8614214609425185,-1.7743471970346874
145,-0.6437151992086159,-1.9723269577265021
146,-0.6437733103396015,-1.9724281547024796
147,,
148,-0.6436742965954092,-1.972255728330414
149,-0.8614214609425185,-1.7743471970346874
150,-0.6435981794180059,-1.9721231749272616
151,,
152,-0.6435373349495699,-1.9720172180114997
153,-0.8614214609425185,-1.7743471970346874
154,-0.6434281417812449,-1.9718270647956786
155,-0.6434930014435511,-1.9719400139256817
156,,
157,-0.8614214609425185,-1.7743471970346874
158,-0.6431838209778262,-1.971401595078345
159,-0.6433892505394214,-1.9717593380796814
160,,
161,-0.8614214609425185,-1.7743471970346874
162,-0.64294175307481,-1.970980048649098
163,-0.6429953744236915,-1.9710734269444887
164,,
165,-0.8614214609425185,-1.7743471970346874
166,-0.6427843523984973,-1.9707059450102682
167,-0.6428113376848992,-1.9707529382340012
168,,
169,-0.8614214609425185,-1.7743471970346874
170,-0.6427122190601711,-1.9705803292189048
171,-0.6427299011595184,-1.9706111215120947
172,,
173,-0.6426231755568321,-1.970425265410724
174,-0.6426907102582908,-1.9705428729575956
175,-0.8614214609425185,-1.7743471970346874
176,-0.6426098930108204,-1.9704021346702465
177,,
178,-0.8614214609425185,-1.7743471970346874
179,-0.6425085606576826,-1.9702256705826904
180,-0.6425669491658368,-1.9703273505940206
181,,
182,-0.8614214609425185,-1.7743471970346874
183,-0.6423594541979576,-1.969966010814123
184,-0.6423911202037681,-1.9700211552240658
185,,
186,-0.8614214609425185,-1.7743471970346874
187,-0.642298491659308,-1.9698598482863143
188,-0.6423226099256272,-1.9699018487701445
189,,
190,-0.6421250317008528,-1.9695577783910783
191,-0.8614214609425185,-1.7743471970346874
192,-0.6420476582246778,-1.9694230372205492
193,-0.642121199626013,-1.969551105067415
194,,
195,-0.642043050138398,-1.9694150125204848
196,-0.8614214609425185,-1.7743471970346874
197,-0.6419985735169423,-1.9693375592078977
198,,
199,-0.8614214609425185,-1.7743471970346874
200,-0.6419205794328211,-1.9692017372866348
201,-0.6419765549536114,-1.9692992152282391
202,,
203,-0.8614214609425185,-1.7743471970346874
204,-0.6417487270441833,-1.9689024668757908
205,-0.6418176768938368,-1.969022538816583
206,,
207,-0.6415813880237098,-1.9686110562192136
208,-0.6416913686525731,-1.9688025807493392
209,-0.8614214609425185,-1.7743471970346874
210,-0.6413485844837589,-1.9682056431109103
211,,
212,-0.8614214609425185,-1.7743471970346874
213,-0.6222505091870751,-1.9349475145176929
214,-0.6410150013814249,-1.9676247285662976
215,-0.6412917841871866,-1.9681067288727898
216,,
217,-0.6221354611606206,-1.934747165424982
218,-0.8614214609425185,-1.7743471970346874
219,-0.621869676963527,-1.9342843185219474
220,-0.6219919428206939,-1.9344972370248357
221,-0.6220589263516547,-1.9346138847420384
222,,
223,-0.6216149913759716,-1.9338407991677626
224,-0.621650391504728,-1.9339024463241439
225,-0.6217092708359546,-1.9340049810737978
226,-0.6217182834186895,-1.9340206759347145
227,-0.8614214609425185,-1.7743471970346874
228,,
229,-0.6211530942675524,-1.9330364336392998
230,-0.8614214609425185,-1.7743471970346874
231,-0.6211277563240378,-1.9329923091623247
232,,
233,-0.8614214609425185,-1.7743471970346874
234,-0.6210661729417538,-1.932885065473346
235,-0.6210695810675091,-1.9328910005156406
236,,
237,-0.6210288743288649,-1.9328201122231081
238,-0.6210414505363869,-1.9328420129183606
239,-0.8614214609425185,-1.7743471970346874
240,-0.6210207151178624,-1.932805903456805
241,,
242,-0.8614214609425185,-1.7743471970346874
243,-0.6209753548240535,-1.9327269112829295
244,-0.6209965658260359,-1.9327638489439531
245,,
246,-0.8614214609425185,-1.7743471970346874
247,-0.6209442406742567,-1.9326727278964397
248,-0.6209637583945629,-1.932706716811118
249,,
250,-0.8614214609425185,-1.7743471970346874
251,-0.6207951052279355,-1.9324130176494902
252,-0.6208064755487025,-1.9324328183668054
253,,
254,-0.6207624696691554,-1.9323561848224249
255,-0.8614214609425185,-1.7743471970346874
256,-0.6207585812107792,-1.9323494133102856
257,,
258,-0.8614214609425185,-1.7743471970346874
259,-0.6205976792797595,-1.932069212450795
260,-0.6206078546929668,-1.9320869323097691
261,,
262,-0.8614214609425185,-1.7743471970346874
263,-0.6205906208453853,-1.93205692061958
264,-0.6205953399311841,-1.9320651386185088
265,,
266,-0.8614214609425185,-1.7743471970346874
267,-0.6204723553467149,-1.9318509684960372
268,-0.620501422194929,-1.9319015866321945
269,,
270,-0.8614214609425185,-1.7743471970346874
271,-0.6204658772597531,-1.9318396873043013
272,-0.6204688330284246,-1.9318448345944363
273,,
274,-0.8614214609425185,-1.7743471970346874
275,-0.6204484503536032,-1.9318093394144373
276,-0.6204495876189065,-1.9318113198923184
277,,
278,-0.8614214609425185,-1.7743471970346874
279,-0.6203992910641709,-1.9317237315223281
280,-0.6204003569002645,-1.931725587610615
281,,
282,-0.6203742734480366,-1.9316801648758697
283,-0.8614214609425185,-1.7743471970346874
284,-0.6203483784820163,-1.9316350703783125
285,,
286,-0.8614214609425185,-1.7743471970346874
287,-0.6203026452818691,-1.9315554288108845
288,-0.6203095677151015,-1.9315674838044399
289,,
290,-0.8614214609425185,-1.7743471970346874
291,-0.6202547724805942,-1.9314720612591192
292,-0.6202838139363432,-1.9315226351758532
293,,
294,-0.6202203478655088,-1.9314121129000572
295,-0.6202249554739214,-1.9314201367679449
296,-0.8614214609425185,-1.7743471970346874
297,-0.6202072265959591,-1.9313892630126617
298,,
299,-0.8614214609425185,-1.7743471970346874
300,-0.6201385847910214,-1.9312697275128787
301,-0.620153457815839,-1.931295627974798
302,,
303,-0.6201238160508427,-1.9312440086562719
304,-0.8614214609425185,-1.7743471970346874
305,-0.6201023743133642,-1.9312066691835115
306,,
307,-0.6200744318402869,-1.9311580090777998
308,-0.8614214609425185,-1.7743471970346874
309,-0.6200410663986535,-1.9310999052044424
310,-0.6200614541238538,-1.9311354091793664
311,,
312,-0.8614214609425185,-1.7743471970346874
313,-0.6198829049027379,-1.9308244766448655
314,-0.6199176648191065,-1.930885008910579
315,,
316,-0.8614214609425185,-1.7743471970346874
317,-0.6198267340631958,-1.930726658567616
318,-0.6198330165606996,-1.9307375991522886
319,,
320,-0.8614214609425185,-1.7743471970346874
321,-0.6197716790437446,-1.9306307836227248
322,-0.6197862510361611,-1.930656159855152
323,,
324,-0.8614214609425185,-1.7743471970346874
325,-0.6196306078516485,-1.9303851167806658
326,-0.6196471629525888,-1.9304139464751453
327,,
328,-0.6196124571255635,-1.9303535084027106
329,-0.8614214609425185,-1.7743471970346874
330,-0.6195787421354723,-1.9302947958121197
331,,
332,-0.8614214609425185,-1.7743471970346874
333,-0.6193721134758097,-1.9299349646549298
334,-0.6193912276439304,-1.9299682508081906
335,,
336,-0.8614214609425185,-1.7743471970346874
337,-0.6193214717755327,-1.9298467752351152
338,-0.6193277535687225,-1.929857714593268
339,,
340,-0.8614214609425185,-1.7743471970346874
341,-0.6192526182997444,-1.929726871123508
342,-0.6192959252203516,-1.929802287473698
343,,
344,-0.8614214609425185,-1.7743471970346874
345,-0.6189139982536579,-1.929137185049805
346,-0.6191422118971472,-1.9295346051344984
347,,
348,-0.5998679181355965,-1.895969602876056
349,-0.6188771358122029,-1.9290729913654086
350,-0.8614214609425185,-1.7743471970346874
351,-0.5996426058322073,-1.8955772352974734
352,-0.5996722261327811,-1.895628817237022
353,,
354,-0.8614214609425185,-1.7743471970346874
355,-0.5992221029089122,-1.8948449552074895
356,-0.5993498695042987,-1.8950674529091303
357,,
358,-0.8614214609425185,-1.7743471970346874
359,-0.5991001283602121,-1.8946325440004566
360,-0.5991878069576693,-1.8947852309086297
361,,
362,-0.8614214609425185,-1.7743471970346874
363,-0.5989614951467068,-1.8943911227488162
364,-0.5990592863631647,-1.894561420163698
365,,
366,-0.8614214609425185,-1.7743471970346874
367,-0.5989278468479002,-1.8943325262970132
368,-0.598947882641687,-1.8943674174049328
369,,
370,-0.8614214609425185,-1.7743471970346874
371,-0.5985428498680637,-1.8936620776332347
372,-0.5985635285540409,-1.893698088298534
373,,
374,-0.8614214609425185,-1.7743471970346874
375,-0.5984566994567231,-1.8935120519676
376,-0.5984794704091155,-1.8935517061867344
377,-0.5985032981153062,-1.8935932006778942
378,,
379,-0.8614214609425185,-1.7743471970346874
380,-0.5983139723009788,-1.8932635013662569
381,-0.5983348500300849,-1.893299858652976
382,,
383,-0.8614214609425185,-1.7743471970346874
384,-0.5981802931367566,-1.8930307072880648
385,-0.5981858983304327,-1.8930404683895983
386,,
387,-0.5981172181784637,-1.8929208661108086
388,-0.8614214609425185,-1.7743471970346874
389,-0.5981081416134636,-1.8929050598286954
390,,
391,-0.8614214609425185,-1.7743471970346874
392,-0.597879607730218,-1.8925070820660772
393,-0.5978945095064516,-1.8925330325968268
394,,
395,-0.8614214609425185,-1.7743471970346874
396,-0.5978166149304647,-1.8923973839628863
397,-0.5978261498201313,-1.892413988389339
398,,
399,-0.5977695058325296,-1.8923153463537195
400,-0.8614214609425185,-1.7743471970346874
401,-0.5977327405168247,-1.892251321807869
402,,
403,-0.8614214609425185,-1.7743471970346874
404,-0.5976722262405489,-1.8921459399015332
405,-0.5976872946204951,-1.8921721805624454
406,,
407,-0.8614214609425185,-1.7743471970346874
408,-0.5976440422839508,-1.8920968592670588
409,-0.5976718006661192,-1.8921451987897253
410,,
411,-0.8614214609425185,-1.7743471970346874
412,-0.5975937211596182,-1.8920092281106193
413,-0.5976386866857055,-1.8920875328206828
414,,
415,-0.8614214609425185,-1.7743471970346874
416,-0.5975223494766355,-1.8918849386953942
417,-0.5975606389215562,-1.8919516174189386
418,,
419,-0.8614214609425185,-1.7743471970346874
420,-0.5974248183777535,-1.8917150942593413
421,-0.5974368049611454,-1.8917359681602788
422,,
423,-0.8614214609425185,-1.7743471970346874
424,-0.5972381861777935,-1.8913900857121724
425,-0.5972730670860156,-1.8914508286777891
426,,
427,-0.5969578749565692,-1.8909019408862264
428,-0.8614214609425185,-1.7743471970346874
429,-0.5969424282634508,-1.8908750414160918
430,,
431,-0.5968880928519482,-1.890780419624375
432,-0.8614214609425185,-1.7743471970346874
433,-0.5967888345210564,-1.8906075673195502
434,-0.596822869075847,-1.8906668364124957
435,,
436,-0.8614214609425185,-1.7743471970346874
437,-0.5966672603361638,-1.890395853321571
438,-0.5967177948947184,-1.890483856160637
439,,
440,-0.8614214609425185,-1.7743471970346874
441,-0.5965241906191329,-1.8901467061707249
442,-0.5965740162816988,-1.8902334745108387
443,,
444,-0.8614214609425185,-1.7743471970346874
445,-0.596175139518934,-1.8895388550550662
446,-0.5964569382372178,-1.8900295902660493
447,,
448,-0.5760521071938208,-1.8544958265635885
449,-0.5761922735984346,-1.8547399177736539
450,-0.5765311239059615,-1.8553300048335548
451,-0.5961562348627959,-1.8895059337540931
452,-0.8614214609425185,-1.7743471970346874
453,-0.5756840023087647,-1.8538547944484247
454,-0.575798783174577,-1.8540546782972378
455,-0.5758978821727028,-1.8542272531338078
456,,
457,-0.5756036006602175,-1.8537147799011497
458,-0.8614214609425185,-1.7743471970346874
459,-0.5755206212686583,-1.8535702763722766
460,-0.5755577005511907,-1.8536348476721298
461,,
462,-0.5754733541417468,-1.8534879635653239
463,-0.8614214609425185,-1.7743471970346874
464,-0.5753967795970503,-1.8533546136850392
465,,
466,-0.5753160066813876,-1.8532139525988185
467,-0.8614214609425185,-1.7743471970346874
468,-0.5752516256899609,-1.8531018370448389
