Row,DCP,CL,TD_P,TD_U,LSR
1,0.01889828873605521,0.056580592104511565,0.16691803496853308,0.10012325929610819,0.8156097874683943
2,0.01637267955388202,0.05483445648566118,0.16621474335596856,0.46685050972684017,0.9054066007406933
3,0.9700474126571471,0.9683961609484351,1.0016479746647038,0.6001084565043093,1.0001502274412262
4,0.015159066637167332,0.056642992372801314,0.16544589065113566,0.46495909508383676,0.9099749629779049
5,0.017929157470907033,0.05557117755051567,0.1664531842291826,0.3990034194322387,0.8363173848683596
6,0.020677565273989312,0.05559969007495088,0.1664272924788444,0.46670494566513315,0.9134030901954618
7,0.0175090740129441,0.05637011236272903,0.16580139241182612,0.40050682572292917,0.9157126397674836
8,0.017445082092454715,0.054132610256812194,0.16516272591549427,0.33388414147878887,0.8881567379661094
9,0.030585494946834327,0.05474047265621928,0.5003736507785331,0.23098209088985813,0.9097214555474544
10,0.030691460657355604,0.05502941542125191,0.4991946636325434,0.23368136676586673,0.7757968813684563
11,0.018713811051345473,0.05591821763684241,0.16643889881910004,0.29845235350755306,0.7608907907831932
12,0.016417563639617497,0.05557774664464741,0.16637886728792534,0.30173265231483004,0.9917137994924774
13,0.016840893278474135,0.05570046248491039,0.1674278550119181,0.2992804509170796,0.8138521388339772
14,0.03290188840286892,0.05623792214420691,0.3316154734484204,0.23217332528135912,0.8221091429917587
15,0.018628201938318246,0.05512051177683827,0.16840300444850756,0.30002768798926366,0.8363129644494595
16,0.01641288210366954,0.057048109368326744,0.16813107993691329,0.3341604594395899,0.8150488263392821
17,0.016442520396554573,0.05763502504022473,0.1659723309621099,0.36639672445406374,0.878420734116431
18,0.017869122276401042,0.056288081597586886,0.16587518863587083,0.300031981829017,0.8420304475037836
19,0.03123302421361185,0.0547461699049219,0.3337160754146656,0.23226924030471338,0.8349055065696506
20,0.01720870141802948,0.0562971722506697,0.16555563485883185,0.3330595579112748,0.7462053373295324
21,0.0168918336663532,0.054200403053587684,0.1660746343493512,0.33304742877088517,0.8492626255414943
22,0.016621060275700806,0.05254453173855977,0.16722220028973894,0.33230905124609883,0.8231163313869773
23,0.016055912271155506,0.053931611183428894,0.16725455474446146,0.29970905093460165,0.8166424181878134
24,0.01755071044238781,0.05570765238637704,0.16589263616985714,0.16628776342379872,0.8389805535637458
25,0.9687796919904462,0.9711984500175789,1.0001899050714838,0.6326661708628657,0.9978473658366931
26,0.9666312350121133,0.9704821665585454,0.9999949120800898,0.49969399270627124,0.9984352669214338
27,0.016614368949783447,0.05502784295640197,0.16696112285320736,0.3332912573737638,0.9021054661547282
28,0.032947841001041894,0.05551208877888535,0.3335991681700927,0.26731641972044,0.9161773841344638
29,0.018584886153451496,0.05658656857824443,0.16672180267699735,0.30009525819485966,0.8381134318108626
30,0.01624621564519406,0.056644961187291024,0.16551558244116749,0.3000611870411789,0.828570117205074
31,0.016413696122155957,0.05726754430561928,0.16772789161854407,0.23357221993148122,0.9610058747722184
32,0.017492728464795562,0.055106017363592656,0.169940679574022,0.300816259977294,0.5921509786739406
33,0.016854484892947975,0.05634064563297087,0.1668110110515485,0.4336888324972736,0.9790389523545844
34,0.0320746282771632,0.055390189561927934,0.3329790359263426,0.36700929790103537,0.8514768430980982
35,0.03233597755871041,0.0562315076502189,0.3335381347175768,0.1344998206371927,0.8986517861216198
36,0.018561188220708753,0.055794657079727375,0.16823813269619506,0.2661604597995388,0.9178979070516489
37,0.03381507074595014,0.05589487696259236,0.3330649870791831,0.23314669621805104,0.759196315903837
38,0.016486918072203812,0.05722522913170066,0.16741254392534805,0.10004655137208197,0.9048107289238135
39,0.03285683371909341,0.05608048371345335,0.33125081799484374,0.23152499284188424,0.8127452829694534
40,0.03156496473209296,0.05375227908588434,0.5011212867142393,0.1995320536546725,0.9060601453226014
41,0.029702714412908112,0.05494819303559237,0.33305566536132575,0.3008255453753047,0.9231310175352431
42,0.03288330302224084,0.055136033787485855,0.33375578025059477,0.13245248367538529,0.8973536775574091
43,0.0333650821117057,0.055568450366219026,0.33422844861433637,0.23322114371130556,0.9191262019996191
44,0.017003516788589947,0.054958694172567324,0.1644362759287398,0.3342210890210249,0.9174056290521748
45,0.020837731297593032,0.054906926694049424,0.6662709898466208,0.19849443955867302,0.9209985347844084
46,0.9705292567567773,0.9703244097004778,1.000200039456801,0.6334939943831295,0.999352603493981
47,0.9684988168340858,0.9693986408685307,1.0004769464830086,0.7342606042733953,0.9986977965464613
48,0.9686858125358828,0.9690430022539511,1.000767153106038,0.6664521619003543,1.0009599620752725
49,0.9684994976548997,0.9687435973708028,0.9989039469171146,0.6983450505383698,0.9987863903998839
50,0.01735166954489281,0.05559115931664181,0.1647851242609224,0.33333306563523873,0.9021691119126282
51,0.01785716055358346,0.05638240913061217,0.1650648442460013,0.23236598981362588,0.9699201922157449
52,0.03121106876437276,0.05461837675100251,0.5008249490808551,0.23362925721007605,0.909597314269787
53,0.9692713804028722,0.9703779251407053,0.9988406545687359,0.6329455157498275,0.9909180471975246
54,0.017505533203982755,0.056356411459709814,0.16736531568586993,0.5012435651293135,0.8069028923769029
55,0.01583387131833232,0.05493067970128361,0.1656927459786765,0.3345480691984982,0.9972850406458018
56,0.9678396496501759,0.9687263441273921,1.000901325910707,0.5325708269453763,0.9991452238194749
57,0.014996413527317851,0.05387630349275937,0.16671210343508525,0.46554426040344155,0.9939650405247277
58,0.014854681837235,0.05683592159587165,0.16570260042118345,0.43158579632303007,0.7342435685693169
59,0.9690117724594447,0.969692943208403,1.0005880684667878,0.5687289233364472,1.000418962449862
60,0.01888194546011857,0.0560389944700797,0.16708088520411846,0.33578810097585177,0.8240161363736523
61,0.01846910763786784,0.05756342226895985,0.1671123590657468,0.36616493922853793,0.8253366702018966
62,0.016430169398537933,0.05499794240715164,0.1654208041402334,0.09981938949810788,0.8764245054545629
63,0.9691296465593916,0.9697750763507708,1.0002878040874723,0.5347488290936775,0.992978423113635
64,0.03262832389628821,0.05586175857414485,0.49909684705156543,0.20140150436592913,0.8333592526884676
65,0.03182090656170289,0.05566976054393572,0.33434487639380683,0.23324980473835025,0.9895108691215414
66,0.9695287819564776,0.056663507584105224,0.9989916536226318,0.4983263081914843,0.9187868956640621
67,0.9680483162480752,0.9692162059588688,0.9989337023229201,0.5997020472138175,0.9981646511784381
68,0.9688619073207044,0.9702335439358492,0.9983903232768327,0.6011572894914236,0.9995572329940514
69,0.03261225212014245,0.055526611750008746,0.3340903122550027,0.23260344083318069,0.7894633790555923
70,0.018788118344061463,0.05513220931688782,0.16556852324999136,0.3673882072570887,0.9709199200819993
