instances,instance_hardness
1,0.021798250946241104
2,0.015045912965607977
3,0.6880090105789283
4,0.014919459897493548
5,0.015154900780470881
6,0.015045769927045649
7,0.01572168917096084
8,0.015401244438104866
9,0.058177256331900074
10,0.017974110684265354
11,0.03586868516989106
12,0.015294355683943661
13,0.015092252015963425
14,0.015898807911923662
15,0.015224448004207192
16,0.015011937944916398
17,0.015095338906419231
18,0.016095030508183727
19,0.015312691022048353
20,0.2117321295483151
21,0.014897335394350342
22,0.01550400285088016
23,0.015756519937661584
24,0.023412817608463365
25,0.8526243227163134
26,0.7551395253613817
27,0.015397056476554982
28,0.02006127475739694
29,0.014841901628823484
30,0.015122055135200152
31,0.015045492132171323
32,0.01484178373330347
33,0.024146121583337288
34,0.015485864984347342
35,0.020911183095677188
36,0.014989402172699284
37,0.015097895771929104
38,0.01577114271686475
39,0.020923943891492436
40,0.02700322169087177
41,0.1138080113575346
42,0.03383096786175788
43,0.04206793920944207
44,0.015326394037845636
45,0.07225936618637852
46,0.8186291204912544
47,0.8969109741867216
48,0.9395646729884021
49,0.8267122353968586
50,0.0376557698471075
51,0.032155701007007154
52,0.024490212792501742
53,0.46972885248289764
54,0.015093658717004743
55,0.03174039201700163
56,0.9585583970218439
57,0.01727299304586305
58,0.015995665747515098
59,0.9168410782376728
60,0.014887319249040187
61,0.015178191594377277
62,0.01912228123699211
63,0.24643696792464376
64,0.024275822491084953
65,0.02135205977327337
66,0.9705030016780468
67,0.38613975857939276
68,0.9652709976706207
69,0.015073509640684102
70,0.030542377459707226
71,0.9259972724240777
72,0.023737615498828246
73,0.053388836139404594
74,0.03596375476857494
75,0.024603554495351343
76,0.03227370002741714
77,0.021862182374829953
78,0.9229910427212835
79,0.05030228619627408
80,0.05936174019739049
81,0.015044515822436821
82,0.015242215128844938
83,0.018228263557230395
84,0.7772529348267847
85,0.015181277298339624
86,0.9274579504482988
87,0.03924200762723096
88,0.015654852118984097
89,0.03593824499122811
90,0.01685978250307385
91,0.11703587407391303
92,0.12246208391641678
93,0.015098643255932909
94,0.015578247819241553
95,0.9342437893170779
96,0.7915717874657282
97,0.9276334216224622
98,0.019776630546776808
99,0.0149739706555031
100,0.030451639277345954
101,0.02357777693930685
102,0.015304494912131705
103,0.8632893525311165
104,0.8512493051394104
105,0.06703065358181881
106,0.8851973208795367
107,0.015046728508872231
108,0.015462292602184236
109,0.014849212477239804
110,0.015590868926558143
111,0.014871545101514227
112,0.015045171624934017
113,0.06818502643447777
114,0.031604121287443165
115,0.02267292389769726
116,0.020911562181557652
117,0.07988419113996559
118,0.016123587934135375
119,0.015316907229475651
120,0.022200878801569845
121,0.01961448847098579
122,0.9482427066133722
123,0.07167586932068293
124,0.014847645097266327
125,0.8753899579653933
126,0.02344120914755654
127,0.14144510111963682
128,0.05991777002162557
129,0.07255442022578351
130,0.01531484231835245
131,0.02553447149806687
132,0.037010932909297356
133,0.015796215178353834
134,0.01560473981635524
135,0.04395124055070265
136,0.016088728971836552
137,0.015253070209667263
138,0.3671709490515822
139,0.015070962549875166
140,0.04358668155903833
141,0.8205359475058598
142,0.015348444744745282
143,0.017012463916793785
144,0.8392991035980455
145,0.016569128101461716
146,0.022218924830293307
147,0.04519013450149201
148,0.015045462606998461
149,0.04506535494343522
150,0.015777676372521476
151,0.023950193769749384
152,0.015046117380856927
153,0.014960164946008603
154,0.015241717312676206
155,0.015046344672927758
156,0.20767251388606123
157,0.015256409229610357
158,0.015098249447833112
159,0.014942912027410604
160,0.02252709175714196
161,0.1809969255435232
162,0.04825694922192114
163,0.01798951807260718
164,0.015095624081057135
165,0.02662364348530666
166,0.0881353229067291
167,0.05347065870612755
168,0.015362985350853897
169,0.016438505450797725
170,0.54473084147495
