instances,feature_DCP,feature_TD_P,feature_CL,algo_bagging,algo_logistic_regression,algo_random_forest,algo_svc_linear
1,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.016188485657955953,0.0014047283484080555,0.043246195888474566,0.1568537576965983
2,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011935664005564454,0.010355888009842476,0.006603994313763099,0.1768610320571012
3,0.9663481268687343,1.0,0.9664385308641318,3.7638499485770534,1.2913662155279817,3.6767870569064707,1.2797969800288198
4,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.021419448559381563,0.03418415271005945,0.014305625346465439,0.3054077576997292
5,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.01251141279635536,0.049943154084285235,0.006587335108490244,0.4136949044010133
6,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.012124809812010601,0.003376425662864541,0.006237365861944283,0.2623713064349963
7,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.012124809812010601,0.04847886263186135,0.01116696239605631,0.46470288699430373
8,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011091458230942187,0.04625663095642799,0.0063637349175355434,0.03507354211865963
9,0.03194888178913735,0.5,0.05262787124785495,0.011144090636570084,0.5849902247549389,0.009202750811891225,0.8886020791834159
10,0.03194888178913735,0.5,0.05262787124785495,0.042456952808754805,0.00561881698669799,0.011927992068450816,0.21945405864414683
11,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.017088174121060853,0.0006951143805480281,0.007088063576014198,0.18020042198024547
12,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011091458230942187,0.048906679208643805,0.006392259353598089,0.035282504485606526
13,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.013297814444092523,0.0007541138197525148,0.0063637349175355434,0.0005118860153476258
14,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.011144090636570084,0.05998948465229297,0.006651494983979551,0.42173172106021367
15,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011144090636570084,0.03242596637188294,0.006651494983979551,0.3469124968650796
16,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011091458230942187,0.062336203362590964,0.0063637349175355434,0.042153820787790126
17,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011144090636570084,0.00891291082829258,0.007097948364479947,0.2073663931250287
18,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.01306141894953187,0.006694491156229686,0.007513429574976989,0.15172037341987463
19,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.01251141279635536,0.023888662660447455,0.006171628333396203,0.3408139381492829
20,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.01251141279635536,9.17636673581772e-05,0.006587335108490244,0.05267408504399292
21,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.01593958158284303,0.04906514826104588,0.007735704156666539,0.03216780342474749
22,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011935664005564454,0.06434734562897942,0.006603994313763099,0.38083239007346326
23,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011935664005564454,0.08843279552819086,0.006689766649489373,0.41197893326742097
24,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.07756272991517611,0.10207419893336674,0.016267060605190533,0.4467920839570623
25,0.9663481268687343,1.0,0.9664335356518777,2.9328311571295806,1.2146512061299957,3.426839793080879,1.071284333892359
26,0.9663481268687343,1.0,0.9663715670147445,3.6651622968733064,1.5563894423011033,3.6393497110656488,1.1635127114031372
27,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011091458230942187,0.05551560883360275,0.0063637349175355434,0.04182254455141113
28,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.011872593242735976,0.18795705450453504,0.0074073562646385345,0.17034191067292834
29,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.012124809812010601,0.00034994187355081154,0.006223861144955414,0.14177129612243103
30,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.013080564066750611,0.06068061629830037,0.006171628333396203,0.4051820648382881
31,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.012124809812010601,0.009511538786411063,0.006223861144955414,0.2947115975625553
32,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011935664005564454,0.0002237774433925822,0.006603994313763099,0.03524988311892275
33,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.012124809812010601,0.19766439156766952,0.0070924387807821945,0.6628042052705062
34,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.01273459874626529,0.023586706764342533,0.006223861144955414,0.43602341947023204
35,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.014047067442215757,0.1855770263022908,0.008071779691030111,0.6509196593363733
36,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.03550778979520099,0.05410962463110356,0.009838240900491188,0.46085681842018117
37,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.012124809812010601,0.004706444379282322,0.006641968248236297,0.2737772938516515
38,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011091458230942187,0.02858383380612078,0.008832349864491763,0.020960467427110694
39,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.012124809812010601,0.0034028763210980557,0.008613492763048682,0.26612839990257325
40,0.03194888178913735,0.5,0.05262787124785495,0.011144090636570084,0.5044090572243153,0.00862447752149564,0.8638880049562725
41,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.01160632053048454,0.5284841272488454,0.009402071065182562,0.4658144987308304
42,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.014946935652324621,0.43100910049717245,0.045934499962010794,0.7356073931122312
43,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.012124809812010601,0.30195495729473526,0.007556988475554257,0.7246806986435207
44,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.01251141279635536,0.07781145689769021,0.006587335108490244,0.427957747051186
45,0.021582733812949617,0.6666666666666666,0.05262787124785495,0.011144090636570084,0.07261575993129427,0.009202750811891225,0.6417370428831921
46,0.9663481268687343,1.0,0.9664389932735298,3.8525327962720115,1.4607154711091859,3.759710631640548,1.3519440414287043
47,0.9663481268687343,1.0,0.966439037087365,3.785313643269171,1.4542190879993575,3.6944508120884065,1.1357181987813445
48,0.9663481268687343,1.0,0.9664390408545618,3.831004629144243,1.9804016233885118,3.896874281970527,2.0121824913529847
49,0.9663481268687343,1.0,0.9664390393658231,3.4921551241613247,1.4702157962596512,3.340613152820631,1.3651323659404235
50,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011144090636570084,0.3934112693503962,0.006651494983979551,0.8098635565570785
51,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011144090636570084,0.33988313426039235,0.007097948364479947,0.7736178360431679
52,0.03194888178913735,0.5,0.05262787124785495,0.011091458230942187,0.2916671089222844,0.006722300698768719,0.2667868257798093
53,0.9663481268687343,1.0,0.9664362800653021,2.4892362929359835,1.3700888629294794,2.6445450986811125,1.3116105270028082
54,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.014752820759676141,0.033208212828664915,0.006641968248236297,0.4272702281379933
55,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011935664005564454,0.3270974842655662,0.007465776136395825,0.7265004428021677
56,0.9663481268687343,1.0,0.9664390348606051,3.7863842553258418,1.7500468115835444,3.782679852085761,1.7735021802157145
