z_1,z_2,Generated
0.6500653415714918,0.46954802532496964,True
-0.14238109975625352,0.032837754531290064,True
0.4602076762092982,0.1071544634341831,True
-0.2020701881640139,-0.3572972236385251,True
0.38490928923477186,0.543895832336359,True
0.07109515320930675,-0.09491047298220233,True
-0.1377178692771847,-0.346304616803157,True
-0.10691526220164362,-0.2949581109277265,True
-0.1944388502512219,-0.3678209777297606,True
-0.16493880112941842,-0.3139890182160407,True
-0.10800543099725338,-0.3460651767732296,True
-0.11232904338517502,-0.305179601668511,True
-0.9155147181342989,0.8038409376219678,True
0.9451194609554733,0.44940698298573134,True
-0.13057212467382046,-0.33868893520837356,True
-0.20250576243934937,-0.391324555327641,True
-0.14141689213397504,-0.33453887882423056,True
0.22557513475084184,0.39764868090485195,True
-0.10905859440584055,-0.29584042272560884,True
0.965937486676009,0.35798325781004264,True
-0.22282981003763128,-0.27096517033523243,True
0.9062927018314262,0.3506690199985353,True
0.3117909293994594,0.284927391945451,True
0.7783462579315202,0.3442848628898685,True
0.3552949859250943,0.5631795942203441,True
-0.17115066500805412,-0.373845042247609,True
-0.004861598127962603,-0.20467217810793423,True
0.6341088275925664,0.16786372167793492,True
-0.40244235984078275,0.307998301173938,True
0.21740247103528673,0.891449423570967,True
1.0111712930229186,0.3503740579959016,True
-0.2661538001894601,0.5703881063276303,True
-0.20544348848847557,-0.4527164409963876,True
-0.11853521142565412,-0.3153309224858667,True
-0.3262942529724175,-0.09759165424572341,True
-0.46589469711195336,1.6424885737744905,True
-0.21995830831919314,-0.3602469963423272,True
-0.3830741310592688,-0.21503444765765437,True
0.7998306551702146,0.2764752331329163,True
-0.19132217224818282,-0.3441898184369019,True
0.5111020006506349,0.16490339188061867,True
-0.15918873719542842,-0.35887229026439776,True
0.6199770956578258,1.0813284441574336,True
-0.15784248141485271,-0.35247344311216006,True
0.6270688869063143,0.19654907005658137,True
0.25603247255267547,0.1394197672571074,True
0.42022585152503195,0.4103846682282899,True
1.0189449962685337,0.34760889580238746,True
0.9774989683314824,0.27589903893524614,True
-1.4775764015253423,2.722128739553415,True
-0.18843911430574817,-0.329196156067637,True
-0.2474743691585585,-0.4166703252835649,True
-0.04258581213140495,-0.0975721219812387,True
-0.1963848983834047,-0.37634741510698394,True
0.7343339574333005,0.17787932957639685,True
0.02682349357484755,-0.1577124043374246,True
0.5441093959047528,0.907721233552552,True
-0.13732392921540804,-0.3432878264327808,True
-0.23486800770308702,-0.38740230544244836,True
-0.126484090123719,-0.2993305337487815,True
-0.12225574243145997,-0.2863704134622682,True
0.006256037070408087,-0.2622154154119522,True
-0.10021067971615896,-0.29182916154253113,True
-0.11600286790111114,-0.34797389155311603,True
-0.6931524194924711,1.4771383226949268,True
-0.27757987496352476,-0.30057322828094496,True
-0.14778657343110427,-0.39857347719452685,True
-0.014057001158802967,-0.08776601175898617,True
0.5522408149768238,1.0082261754788817,True
-0.39110066049015246,-0.174733654449703,True
0.014774000253015911,0.3894146981333016,True
0.5019279270845037,0.9845832578061486,True
0.5358360939385198,0.24058637470221012,True
-0.1788773169465062,-0.37788556830208114,True
0.3825874604570492,0.7018952949827908,True
-0.18322212140708893,-0.37395432684646146,True
-0.1950912097961387,-0.37260201885491245,True
0.8125129132028868,0.24741836571665476,True
0.1869705055233385,-0.02141281659822507,True
0.3735163404723143,0.08434107329095726,True
-0.18135451968820976,-0.3885143370070916,True
0.37174332927224696,0.15159437368444975,True
-0.29340838166221034,-0.20458466076627416,True
0.26497182940467806,0.021326325977445527,True
-0.18614325359278072,-0.3700124512454725,True
-0.22573658432696234,-0.2910378300661093,True
-0.09001070643629666,-0.28996817588198315,True
0.7816846872558667,0.4425901265709986,True
-0.2624842656976003,-0.3833196898139447,True
-0.14526186265288507,-0.3370414156893707,True
-0.14516523356424235,-0.3353271960562038,True
