Row,DCP,TD_P,CL
1,0.015983957794755324,0.16651961662197132,0.05266192246015005
2,0.018135181270987715,0.1663880223003752,0.052864340930742396
3,0.9671216113782463,0.9985932434635771,0.9662065902820934
4,0.017006145048630846,0.16629883318052585,0.05336225137341332
5,0.01550355395652233,0.16607271313029118,0.054346478172699934
6,0.015596219667292063,0.1686593594972413,0.05377764653043248
7,0.01537472174326246,0.1663093849748875,0.05231079690419994
8,0.016847636541095546,0.16733451684237333,0.05402198119277516
9,0.031364325553597715,0.4994905311292133,0.05533067819373603
10,0.03181606071441442,0.5005042808037704,0.052436307318140314
11,0.014869889121571734,0.16813585099124395,0.05316152098889057
12,0.015788326857776407,0.16636048658014296,0.053478629134985065
13,0.015036019412633439,0.16628913705772766,0.05316972570164981
14,0.03188001942110937,0.333156676251918,0.052797969208453054
15,0.015853207778121294,0.16720926946633713,0.05329568838668409
16,0.014595851617468583,0.16743332133539704,0.05292263107023963
17,0.017458167377031673,0.16673655790283257,0.052765569892714886
18,0.016646936476484478,0.1645967954515013,0.05354419625632984
19,0.03120820855203974,0.3345239848783351,0.05283034245649154
20,0.015540910213960653,0.16638544016251697,0.05167963578398318
21,0.01641450261484207,0.16762906194801344,0.05112669200001344
22,0.016874290133818203,0.16726012780999067,0.054003324757311705
23,0.01602003404697703,0.16588307413383094,0.053687039943659164
24,0.015061233441351784,0.16726462117637644,0.05043760977943331
25,0.9663006182676649,0.998442614909059,0.9664686932297647
26,0.9666669316234463,0.9993971934390168,0.9661011045064243
27,0.015512609990199516,0.16688155965201082,0.0534855262534371
28,0.03331968248041673,0.33376026052652297,0.05238370033828481
29,0.016896815354550346,0.16531934824298467,0.05313934611891637
30,0.016358139032068796,0.16635496241143263,0.0515176924640078
31,0.016428853636477003,0.16662002127317307,0.052718047912920674
32,0.015693060216990018,0.16790114556037108,0.052085767710585
33,0.01580647249841473,0.1674148705320505,0.0525223176931541
34,0.03219411309097915,0.33344711146288697,0.05080486908481131
35,0.032013942791561605,0.3343398951854685,0.05183138963666127
36,0.016665070429763323,0.16607318113787653,0.05527722877638857
37,0.03324578348771719,0.33252075459548175,0.05273151577246344
38,0.01555760478214474,0.1661371098178131,0.05194906643363402
39,0.03394800531453175,0.3323780448123059,0.055033674061678785
40,0.03134208323089552,0.5013418412532271,0.05167025273167266
41,0.03387511722428796,0.33306452930885005,0.051226971893715806
42,0.032644718439325975,0.33468115723597996,0.05116589804780247
43,0.03364357471240745,0.3340048078504434,0.05153016914250471
44,0.015927729860760898,0.16695330209869638,0.05500145286700553
45,0.0215689390465813,0.6662020736414168,0.0544721757403832
46,0.9681098392060258,1.0003358685629344,0.9668269209203723
47,0.9661071335274428,0.9987861677857369,0.9675985272589742
48,0.9652769566887555,0.9998669454536038,0.967533310127079
49,0.9669581329010166,1.0006711312675702,0.9666733329871067
50,0.016620260306317743,0.16769757369046703,0.05198370374878778
51,0.016831832594684293,0.1673202689652106,0.051361627737185306
52,0.03131088872384706,0.5003356771839259,0.051674108363978656
53,0.9669295344514776,0.9989307615640766,0.9681111362121363
54,0.015443241285212331,0.16705394843302224,0.05247771135433431
55,0.017283790392409282,0.16777450443165537,0.05268458460445749
56,0.9646281079747484,1.0005277026480914,0.967706725312984
57,0.015201195200026852,0.16788608332793495,0.05173032681336352
58,0.016637820725741485,0.1674588338484578,0.05178922570299602
59,0.9653533596080774,1.0004859277646965,0.966172515226003
60,0.01588831779500645,0.16684674749484524,0.05586334202634116
61,0.017221434300174386,0.16605526862451642,0.05320117361876461
62,0.01735872893452269,0.16700501184829397,0.052553633361687176
63,0.9664568893231462,0.999548918400351,0.9664932720322712
64,0.0319611145688354,0.4992775941405371,0.053938015380516416
65,0.03255622142531555,0.3322335965357246,0.052273935349199205
66,0.9651544767987105,1.0009294537261368,0.053611213962949024
67,0.965397028314697,0.9990966131542602,0.965789181733104
68,0.9659986159924354,0.9988198816217417,0.9668754986400078
69,0.03313607713367054,0.3332198749963552,0.053599904571621795
70,0.016618559866218883,0.16656846817337695,0.052593304434896224
71,0.9661949737494404,1.0004240383387437,0.9670981506792878
